Use case,System response,Actor action
자전거 등록,2. 자전거 등록 양식을 화면에 표시한다.,1. '자전거 등록' 메뉴를 선택한다.
자전거 등록,4. 입력값 유효성 검사를 수행한다.,"3. 자전거 ID, 제품명, 유형, 소속 대여소, 상태를 입력한다."
자전거 등록,6. 자전거 정보가 저장되고 등록 완료 메시지를 표시한다.,5. '등록' 버튼을 클릭한다.
자전거 리스트 보기,2. 등록된 자전거 목록을 화면에 표시한다.,1. '자전거 리스트 보기' 메뉴를 선택한다.
자전거 리스트 보기,4. 해당 자전거의 상세 정보를 표시한다.,3. (선택)특정 자전거 항목을 선택한다.
자전거 리스트 보기,6.삭제 확인 메세지를 표시한다.,5. (선택) 삭제 버튼을 클릭한다.
자전거 리스트 보기,8.자전거 정보를 삭제하고 리스트를 갱신한다.,7.삭제 확인 버튼을 누른다.
대여소 검색,1. 검색 입력창을 표시한다.,2. 대여소 이름을 입력한다.
대여소 검색,3. 조건에 맞는 대여소 리스트를 출력한다.,
대여소 상세정보 조회,"2. 대여소 이름, 위치, 사용 가능 자전거 목록을 표시한다.",1. 대여소 리스트에서 특정 대여소를 선택한다.
대여소 상세정보 조회,4. 자전거 대여 성공 메시지를 출력한다.,3. (선택)사용 가능한 자전거가 있을 경우 '대여' 버튼을 클릭한다.
대여소 상세정보 조회,6. 예약대기 접수 완료 메시지를 출력한다.,5. (선택) 자전거가 없을 경우 '예약대기' 버튼을 클릭한다.
