Use case,Actor,Actor action,System response
회원가입,사용자,1.'회원가입' 버튼을 클릭한다.,"2. 회원가입 양식(ID, 비밀번호, 전화번호, 결제 수단, 선호 자전거 유형 등)을 표시한다."
회원가입,사용자,3.필수 정보를 입력한 뒤 '회원가입' 버튼을 누른다.,4. 계정을 생성하고 회원가입 완료 메시지를 표시한 뒤 로그인 화면으로 이동한다.
회원탈퇴,사용자,1.로그인 상태에서 '회원탈퇴' 버튼을 누른다.,2. 탈퇴 확인 메시지를 표시한다.
회원탈퇴,사용자,3.탈퇴 확인 버튼을 누른다.,4. 사용자의 계정 및 관련 데이터를 모두 삭제하고 로그아웃 처리한다.
회원탈퇴,사용자,,5. 탈퇴 완료 메시지를 표시한 뒤 메인 화면으로 이동한다.
로그인,회원,1.로그인 화면에서 ID와 비밀번호를 입력한 뒤 '로그인' 버튼을 누른다.,2. 회원 계정으로 로그인하고 초기 화면으로 이동한다.
로그아웃,회원,1.로그인 상태에서 '로그아웃' 버튼을 누른다.,2. 세션을 종료하고 로그인 화면으로 이동한다.
대여소 등록,관리자,1.'대여소 등록' 버튼을 누른다.,"2. 대여소 등록 양식(이름, 위치, 보관 수량, 운영 시간 등)을 표시한다."
대여소 등록,관리자,3.필수 정보를 입력한 뒤 '등록' 버튼을 누른다.,4. 대여소를 등록하고 등록 완료 메시지를 표시한 뒤 대여소 리스트 화면으로 이동한다.
대여소 리스트 보기,관리자,,1. 등록된 대여소 리스트를 표시한다.
대여소 리스트 보기,관리자,2.특정 대여소를 선택한다.,3. 선택된 대여소의 상세정보를 표시한다.
대여소 리스트 보기,관리자,3. 삭제 버튼을 누른다.,5. 삭제 확인 메시지를 표시한다.
대여소 리스트 보기,관리자,6. 삭제 확인 버튼을 누른다.,7. 대여소 정보를 삭제하고 리스트를 갱신한다.
자전거 등록,관리자,1.'자전거 등록' 메뉴를 선택한다.,"2. 자전거 등록 양식(자전거 ID, 제품명, 유형, 소속 대여소, 상태)을 화면에 표시한다."
자전거 등록,관리자,3.필수 정보를 입력한 뒤 '등록' 버튼을 누른다.,4. 자전거 정보를 저장하고 등록 완료 메시지를 표시한다.
자전거 리스트 보기,관리자,1. '자전거 리스트 보기' 메뉴를 선택한다.,2. 등록된 자전거 목록을 화면에 표시한다.
자전거 리스트 보기,관리자,3. 특정 자전거 항목을 선택한다.,4. 해당 자전거의 상세 정보를 표시한다.
자전거 리스트 보기,관리자,5. 삭제 버튼을 클릭한다.,6. 삭제 확인 메세지를 표시한다.
자전거 리스트 보기,관리자,7. 삭제 확인 버튼을 누른다.,8. 자전거 정보를 삭제하고 리스트를 갱신한다.
대여소 검색,사용자,2. 대여소 이름을 입력한다.,1. 검색 입력창을 표시한다.
대여소 검색,관리자,,3. 조건에 맞는 대여소 리스트를 출력한다.
대여소 상세정보 조회,관리자,1. 대여소 리스트에서 특정 대여소를 선택한다.,"2. 대여소 이름, 위치, 사용 가능 자전거 목록을 표시한다."
대여소 상세정보 조회,관리자,3. 사용 가능한 자전거가 있을 경우 '대여' 버튼을 클릭한다.,4. 자전거 대여 성공 메시지를 출력한다.
대여소 상세정보 조회,관리자,5. 자전거가 없을 경우 '예약대기' 버튼을 클릭한다.,6. 예약대기 접수 완료 메시지를 출력한다.
자전거 대여 정보 조회,사용자,1.'대여 정보 조회' 메뉴를 클릭한다,"2.현재 대여중인 자전거의 대여소 이름, 대여소 위치, ID, 제품명, 자전거 유형, ‘반납버튼’이 출력된다"
자전거 대여 정보 조회,사용자,3.반납할 자전거의 '반납'버튼을 누른다,4.반납여부를 묻는 창을 출력한다
자전거 대여 정보 조회,사용자,5.'확인'을 누른다,6.사용 시간을 기준으로 요금을 계산하고 등록된 결제방식에 따라 자동 결제후 반납 처리를 완료한다
자전거 대여 정보 조회,사용자,7.'근처식당예약'을 누른다,8.외부 식당예약 서비스창을 출력한다
요금 조회,사용자,1.'요금 조회' 메뉴를 클릭한다,2.대여 시간 및 요금 정보를 출력한다
예약대기 조회,사용자,1.'예약대기 조회' 메뉴를 클릭한다,2.예약대기중인 자전거의 예약대기 정보를 입력할수있는 조회창이 뜬다
예약대기 조회,사용자,3.조회창에 자전거 정보를 입력한다,4.입력한 정보에 맞는 리스트를 출력한다
예약대기 조회,사용자,5.리스트에서 예약대기를 취소할 자전거를 선택한다,6.예약대기 취소 여부를 묻는 창을 출력한다
예약대기 조회,사용자,7.'확인'을 누른다,8.선택한 자전거의 예약대기를 취소 처리한다
이용 내역 조회,사용자,1.'이용 내역 조회' 메뉴를 클릭한다,2.과거 자전거 대여 내역을 날짜순으로 출력한다
이용 내역 조회,사용자,3.정렬 방식을 변경한다,4.대여소별로 대여내역을 재정렬한다
이용 내역 조회,사용자,5.삭제하고자 하는 과거 내역을 선택한다,6.해당 내역을 삭제할지 묻는창을 출력한다
이용 내역 조회,사용자,7.'확인'을 누른다,8.해당 내역을 삭제한다
관리자 대여정보 조회,관리자,1.'대여정보조회' 메뉴를 클릭한다,2.반납 시간을 기준으로 최근순으로 대여정보를 출력한다
관리자 대여정보 조회,관리자,3.지역별 기준 정렬을 선택한다,4.대여정보가 지역 기준으로 재정렬된다
대여금액 및 횟수 조회,관리자,1.'대여금액 및 대여횟수' 메뉴를 클릭한다,"2.1주일, 1개월, 1년 단위 필터를 출력한다"
대여금액 및 횟수 조회,관리자,3.기간 필터(1주/1달/1년)를 선택한다,4.해당 기간동안의 대여금액 및 대여횟수를 출력한다
